athlete_id,sport_id,enrolled_on
1,5,2022-09-15
1,8,2024-05-16
1,4,2022-02-22
2,7,2024-04-29
3,1,2022-12-08
3,8,2024-02-29
4,5,2022-06-15
5,8,2023-03-14
5,5,2023-07-29
5,6,2022-01-10
6,2,2024-06-23
7,3,2024-05-04
7,5,2023-01-14
7,1,2023-08-20
8,3,2022-02-12
8,4,2022-11-12
8,2,2023-01-09
9,6,2022-08-04
10,4,2022-12-29
10,6,2024-03-09
10,1,2023-07-28
11,3,2024-06-04
11,2,2022-06-16
12,7,2022-01-26
13,6,2024-03-12
14,4,2022-06-13
14,3,2024-03-17
15,2,2024-05-29
15,4,2023-04-27
15,1,2022-08-16
16,8,2022-12-25
17,4,2022-01-25
17,2,2023-11-07
18,7,2022-12-03
19,2,2022-10-13
19,7,2022-12-26
20,7,2022-12-06
20,6,2022-01-29
20,5,2022-04-29
21,3,2022-09-29
21,5,2022-02-09
22,7,2022-12-20
23,6,2023-06-08
23,4,2022-04-29
23,5,2023-01-30
24,4,2023-12-27
24,3,2023-03-23
24,1,2022-01-02
25,4,2022-03-13
25,3,2023-11-12
25,8,2022-12-05
26,6,2024-01-08
26,8,2022-11-04
26,1,2023-06-04
27,7,2023-02-17
27,3,2023-12-15
28,3,2023-03-07
28,2,2023-11-12
29,3,2023-08-06
29,5,2022-11-05
30,1,2022-10-21
30,3,2022-08-04
31,6,2023-03-29
31,4,2023-03-29
32,4,2024-03-23
32,5,2024-03-26
32,8,2024-01-24
33,2,2022-10-18
34,6,2023-11-20
34,1,2022-11-14
34,2,2022-08-19
35,3,2022-01-26
36,4,2023-05-02
37,2,2024-06-26
37,4,2023-10-07
37,7,2023-08-13
38,7,2023-05-22
39,4,2023-11-03
39,2,2023-12-06
40,2,2024-03-08
41,4,2024-04-03
41,2,2023-12-14
42,8,2022-09-13
42,1,2024-05-18
42,5,2022-05-05
43,3,2023-04-21
43,7,2023-11-15
44,6,2023-09-20
44,7,2024-04-14
44,4,2024-01-07
45,7,2023-04-02
45,8,2022-06-12
45,5,2024-02-01
46,8,2024-02-09
46,3,2022-09-11
47,5,2023-05-12
47,7,2023-10-04
47,8,2022-09-02
48,8,2024-01-01
48,1,2022-10-20
49,5,2022-12-10
50,2,2022-06-04
50,8,2022-08-25
51,3,2022-08-08
51,6,2022-03-07
52,7,2023-07-10
52,3,2023-04-23
53,1,2024-05-02
53,2,2023-03-07
54,1,2024-06-20
54,7,2024-02-23
55,7,2022-12-27
55,4,2022-11-02
55,1,2024-02-11
56,7,2024-02-05
56,5,2024-01-23
57,4,2022-10-07
57,8,2023-03-23
57,2,2023-05-13
58,7,2022-12-11
59,7,2024-05-10
59,6,2023-04-24
59,2,2022-05-11
60,1,2023-08-01
60,4,2023-11-10
60,5,2022-01-28
61,7,2022-05-19
62,3,2022-09-24
62,1,2023-01-24
63,4,2022-12-01
63,8,2022-12-12
64,5,2024-05-01
64,7,2023-03-08
65,2,2022-01-20
65,4,2024-02-07
66,1,2023-10-28
66,3,2022-03-12
66,2,2024-03-10
67,1,2022-09-11
67,7,2022-07-24
67,8,2024-05-09
68,3,2022-09-02
69,8,2023-11-17
70,4,2023-04-22
71,5,2022-06-21
71,7,2023-09-13
71,3,2023-09-14
72,2,2022-11-15
72,7,2022-04-21
72,8,2023-08-16
73,5,2023-08-13
74,7,2022-07-23
74,4,2022-03-19
74,6,2023-08-30
75,4,2024-03-02
75,1,2022-11-05
75,6,2024-05-20
76,2,2024-03-12
76,7,2022-02-12
76,5,2022-12-22
77,7,2022-03-12
77,6,2023-06-03
77,3,2023-10-26
78,1,2023-03-07
78,7,2024-04-22
79,2,2023-01-06
79,4,2023-10-13
80,3,2022-06-30
80,4,2024-01-22
81,5,2024-03-04
81,8,2023-05-11
81,7,2023-04-22
82,5,2024-05-22
82,3,2022-09-09
83,5,2024-06-21
84,4,2023-04-21
84,7,2023-08-07
85,7,2023-05-22
85,3,2024-05-21
85,1,2022-11-29
86,8,2022-08-06
87,5,2022-10-14
87,3,2024-06-20
88,5,2023-06-14
88,8,2022-07-15
88,1,2022-03-29
89,7,2023-05-16
90,4,2023-10-24
90,6,2023-12-30
90,8,2023-05-18
91,1,2022-10-29
91,8,2022-08-15
92,4,2023-11-11
92,3,2023-08-19
93,8,2023-06-28
93,5,2022-12-19
94,6,2023-12-21
94,3,2023-04-10
95,5,2022-08-25
95,3,2022-05-04
96,4,2024-01-31
96,3,2023-07-03
96,1,2024-02-20
97,3,2024-01-27
97,2,2023-05-11
97,7,2022-10-11
98,5,2022-10-31
98,1,2022-08-21
98,2,2023-01-05
99,5,2022-01-15
100,3,2022-02-25
100,8,2023-07-21
100,1,2022-10-27
